COURSE,DESTINATION,DWT,ELAPSED,FLAG,GT_SHIPTYPE,HEADING,LAT,LENGTH,LON,L_FORE,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,SPEED,STATUS_NAME,TYPE_IMG,TYPE_NAME,WIDTH,W_LEFT
104,AEKLF>>OMSOH,90087,29,PA,11,108,23.819876,316,59.623119,227,0,HAKATA SEOUL,7,418949,182,,,,45,31
0,AE JEA,90029,29,CN,11,159,24.986139,228,55.053246,196,0,ZHONG GU NAN JING,7,7523970,0,,,,40,11
0,FOR ORDERS,89670,335,GR,18,,25.790913,294,51.863453,238,,MARAN GAS DELPHI,8,214912,2,,,,44,24
136,IR BKM,88279,695,LR,6,133,30.435984,229,49.054382,200,,LACON,7,729700,0,,,,38,16
133,INMUN,87672,308,CN,11,115,23.600761,228,62.795532,193,-28,ZHONG GU NAN NING,7,7341190,75,,,,40,16
44,,,685,,,,24.298334,,65.814346,,,[SAT-AIS],8,TWpNeU16STFNak15TXpJMU1qTXlNdz09LTV5WkZnVy9IMUcvQVJRZU4zVXBhRnc9PQ==,128,Underway using Engine,8,Tanker,,
159,SGSIN,81305,158,SG,88,,21.025461,227,63.895988,189,,HAFNIA PIONEER,8,733276,93,,,,37,15
271,SADMN,81171,34,CY,11,,23.878759,299,60.815376,224,,MSC APOLLO,7,417736,182,,,,40,12
113,CNZUH,81021,85,IR,11,,24.879265,304,61.189434,226,,ZARDIS,7,657774,165,,,,40,14
299,PKKHI,80262,852,CY,11,,22.691067,303,69.057098,226,,HYUNDAI SHANGHAI,7,144974,118,,,,40,14
278,,,596,,,,22.908117,,68.216232,,,[SAT-AIS],7,TnpBMk5qWXlOekEyTmpZeU56QTJOZz09LVd5MHMrRmU1VmlYV2owMjZOR1VwQWc9PQ==,113,Underway using Engine,7,Cargo Vessel,,
320,AEFJR,79920,38,PA,17,,22.635071,219,60.913265,181,,GEM NO.3,8,4899299,131,,,,38,14
125,IN MRM,79223,938,MT,6,125,22.186949,229,62.910748,196,13,AP ARGOSY,7,713771,106,,,,32,13
231,SHUAIBA,77834,33,PA,6,326,28.90144,225,48.394932,205,0,NEW HARVE,7,407177,1,,,,32,22
327,QA RLF,77089,138,PA,18,,21.952257,289,63.545448,233,,TAITAR NO.3,8,462336,177,,,,49,32
214,OUTSIDE HRA,76801,69,LR,6,,22.749928,225,60.717033,0,,MINOAN DIGNITY,7,756270,5,,,,32,0
192,ORDER,76606,59,BZ,6,,22.151598,224,59.942261,194,,SOFIA,7,410843,96,,,,32,20
73,B-ABBAS,76554,31,IR,6,171,26.955927,225,56.404099,190,0,DARYABAR,7,1062495,0,,,,32,14
274,PK BQM,76067,334,HK,6,272,24.586824,225,65.071411,198,0,PHOENIX OCEAN,7,686517,111,,,,32,24
269,,,76,,,,24.608334,,64.165001,,,[SAT-AIS],7,TWpnNE1UUTVNamc0TVRRNU1qZzRNUT09LXlWYlZ3c3BCb1phWW5JNDFIVUU5d3c9PQ==,100,Underway using Engine,7,Cargo Vessel,,
274,DAMMAM,75256,29,PA,6,193,26.495966,224,50.206352,184,0,EILEEN,7,417319,0,,,,32,15
163,OMSOH>>MGTMM,74997,32,SG,17,,21.256821,220,60.579151,181,,HAFNIA PRESTIGE,8,4635408,95,,,,38,10
257,IQ KAZ,74902,31,MH,71,327,30.187183,228,47.890949,191,0,MAGIC VICTORIA,8,713891,0,,,,32,22
280,JEBEL ALI,74834,74,MT,71,,23.926918,228,58.806366,190,,SERENO,8,754468,138,,,,32,21
